
--- 新紀錄時段: Thu May  7 22:07:06 2026 ---
位置: X= 188, Y= 154 | 顏色 RGB=(12, 13, 20)
位置: X= 372, Y= 163 | 顏色 RGB=(0, 0, 0)
位置: X=1240, Y= 811 | 顏色 RGB=(0, 0, 0)

--- 新紀錄時段: Thu May  7 22:27:43 2026 ---
位置: X= 355, Y= 616 | 顏色 RGB=(219, 163, 93)
位置: X= 492, Y= 830 | 顏色 RGB=(235, 235, 235)

--- 新紀錄時段: Thu May  7 22:34:48 2026 ---
位置: X= 498, Y= 616 | 顏色 RGB=(219, 163, 93)
位置: X= 800, Y= 837 | 顏色 RGB=(222, 197, 131)

--- 新紀錄時段: Thu May  7 22:35:47 2026 ---
位置: X=1053, Y= 620 | 顏色 RGB=(219, 163, 93)
位置: X=1196, Y= 844 | 顏色 RGB=(34, 30, 26)
位置: X= 867, Y= 483 | 顏色 RGB=(30, 30, 30)
位置: X= 867, Y= 483 | 顏色 RGB=(30, 30, 30)
位置: X= 867, Y= 483 | 顏色 RGB=(30, 30, 30)

--- 新紀錄時段: Thu May  7 22:55:36 2026 ---
位置: X= 335, Y= 453 | 顏色 RGB=(0, 0, 0)
位置: X=1201, Y= 509 | 顏色 RGB=(50, 47, 36)
位置: X= 721, Y= 562 | 顏色 RGB=(174, 175, 173)
位置: X= 721, Y= 562 | 顏色 RGB=(30, 30, 30)
位置: X=1052, Y= 548 | 顏色 RGB=(30, 30, 30)
位置: X= 657, Y= 272 | 顏色 RGB=(212, 184, 136)
位置: X= 657, Y= 272 | 顏色 RGB=(30, 30, 30)
位置: X= 931, Y= 617 | 顏色 RGB=(71, 71, 71)
位置: X= 931, Y= 617 | 顏色 RGB=(30, 30, 30)
位置: X= 734, Y= 858 | 顏色 RGB=(56, 56, 56)
位置: X= 734, Y= 858 | 顏色 RGB=(56, 56, 56)
位置: X= 997, Y= 626 | 顏色 RGB=(30, 30, 30)
位置: X= 997, Y= 626 | 顏色 RGB=(30, 30, 30)

--- 新紀錄時段: Thu May  7 23:19:56 2026 ---
位置: X= 976, Y= 498 | 顏色 RGB=(0, 0, 0)
位置: X=1164, Y= 691 | 顏色 RGB=(255, 250, 208)
位置: X= 843, Y= 587 | 顏色 RGB=(30, 30, 30)
位置: X= 539, Y= 674 | 顏色 RGB=(30, 30, 30)
位置: X= 539, Y= 674 | 顏色 RGB=(29, 29, 29)
位置: X= 539, Y= 674 | 顏色 RGB=(30, 30, 30)
位置: X= 539, Y= 674 | 顏色 RGB=(30, 30, 30)

--- 新紀錄時段: Thu May  7 23:21:05 2026 ---
位置: X= 975, Y= 500 | 顏色 RGB=(86, 84, 70)
位置: X=1165, Y= 690 | 顏色 RGB=(255, 250, 208)
位置: X= 731, Y= 673 | 顏色 RGB=(255, 255, 255)
位置: X=1110, Y= 655 | 顏色 RGB=(255, 255, 255)
位置: X= 927, Y= 414 | 顏色 RGB=(225, 239, 251)
位置: X= 927, Y= 414 | 顏色 RGB=(225, 239, 251)
位置: X= 777, Y= 651 | 顏色 RGB=(229, 243, 255)
位置: X=1122, Y= 707 | 顏色 RGB=(30, 30, 30)
位置: X= 849, Y= 551 | 顏色 RGB=(30, 30, 30)
位置: X= 849, Y= 551 | 顏色 RGB=(30, 30, 30)
位置: X= 398, Y= 590 | 顏色 RGB=(30, 30, 30)
位置: X=1045, Y= 481 | 顏色 RGB=(30, 30, 30)
位置: X=1045, Y= 481 | 顏色 RGB=(42, 45, 46)
位置: X= 910, Y= 412 | 顏色 RGB=(30, 30, 41)
位置: X= 910, Y= 412 | 顏色 RGB=(133, 81, 65)
位置: X= 407, Y= 688 | 顏色 RGB=(164, 144, 115)
位置: X= 525, Y= 690 | 顏色 RGB=(30, 30, 30)
位置: X=1334, Y= 181 | 顏色 RGB=(60, 60, 60)
位置: X= 842, Y= 615 | 顏色 RGB=(30, 30, 30)
位置: X= 842, Y= 615 | 顏色 RGB=(30, 30, 30)
位置: X= 842, Y= 615 | 顏色 RGB=(4, 57, 94)
位置: X= 842, Y= 615 | 顏色 RGB=(30, 30, 30)
位置: X= 842, Y= 615 | 顏色 RGB=(30, 30, 30)
位置: X= 842, Y= 615 | 顏色 RGB=(30, 30, 30)
位置: X=1026, Y= 545 | 顏色 RGB=(30, 30, 30)
位置: X=1026, Y= 545 | 顏色 RGB=(30, 30, 30)
位置: X= 576, Y= 489 | 顏色 RGB=(30, 30, 30)
位置: X= 576, Y= 489 | 顏色 RGB=(30, 30, 30)
位置: X= 594, Y= 509 | 顏色 RGB=(8, 61, 90)
位置: X=1429, Y= 656 | 顏色 RGB=(30, 30, 30)
位置: X= 377, Y= 499 | 顏色 RGB=(212, 195, 172)
位置: X= 856, Y= 559 | 顏色 RGB=(74, 85, 96)
位置: X=1381, Y= 514 | 顏色 RGB=(30, 30, 30)
位置: X= 899, Y= 594 | 顏色 RGB=(40, 50, 60)
位置: X=1375, Y= 584 | 顏色 RGB=(30, 30, 30)
位置: X=1375, Y= 584 | 顏色 RGB=(30, 30, 30)
位置: X= 526, Y= 564 | 顏色 RGB=(11, 75, 115)
位置: X=1063, Y= 558 | 顏色 RGB=(30, 30, 30)
位置: X= 679, Y= 584 | 顏色 RGB=(29, 29, 29)
位置: X=1136, Y= 427 | 顏色 RGB=(30, 30, 30)
位置: X=1136, Y= 427 | 顏色 RGB=(30, 30, 30)
位置: X= 647, Y= 552 | 顏色 RGB=(200, 184, 151)
位置: X=1143, Y= 602 | 顏色 RGB=(30, 30, 30)
位置: X=1165, Y= 630 | 顏色 RGB=(119, 166, 193)
位置: X=1160, Y= 661 | 顏色 RGB=(74, 85, 146)
位置: X=1167, Y= 693 | 顏色 RGB=(72, 75, 77)
位置: X=1162, Y= 693 | 顏色 RGB=(30, 30, 30)
位置: X= 752, Y= 575 | 顏色 RGB=(127, 112, 120)
位置: X= 728, Y= 668 | 顏色 RGB=(30, 30, 30)
位置: X= 670, Y= 687 | 顏色 RGB=(30, 30, 30)
位置: X= 765, Y= 753 | 顏色 RGB=(30, 30, 30)
位置: X= 727, Y= 626 | 顏色 RGB=(30, 30, 30)

--- 新紀錄時段: Fri May  8 01:31:17 2026 ---
位置: X= 992, Y= 592 | 顏色 RGB=(255, 255, 255)
位置: X=1154, Y= 606 | 顏色 RGB=(37, 200, 116)
位置: X= 818, Y= 474 | 顏色 RGB=(30, 30, 30)

--- 新紀錄時段: Fri May  8 02:04:21 2026 ---
位置: X= 334, Y= 398 | 顏色 RGB=(0, 0, 0)
位置: X=1198, Y= 537 | 顏色 RGB=(118, 117, 115)

--- 新紀錄時段: Fri May  8 02:05:29 2026 ---
